barcode	miRNA id	value
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART1-3p	5.78526714588192
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART1-5p	5.78324974065323
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART10	5.8406711126599
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART11-3p	6.03626193784046
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART11-5p	5.73876367564005
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART12	5.80425951107267
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART13	7.74524741905111
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART14-3p	5.78446890788806
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART14-5p	5.78631581381848
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART15	5.75445053029284
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART16	5.86347914277493
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART17-3p	5.82882353919166
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART17-5p	5.82933852488238
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART18	5.72990135355393
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART19	7.26494956660814
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART2	5.78229979777689
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART20-3p	5.75883870413454
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART20-5p	5.75017028914941
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART3-3p	5.73306609257752
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART3-5p	5.75360700834066
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART4	5.85520674813948
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART5	5.77154755137024
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART6-3p	5.71867293045476
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART6-5p	5.74546605580202
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART7	6.1685105174777
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART8-3p	5.91617075839384
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART8-5p	5.72937676641808
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BART9	5.80529705502264
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BHRF1-1	5.869271478533
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BHRF1-2	5.7684000641881
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BHRF1-2*	5.77867999495763
TCGA-06-0675-11A-01T-0345-07	ebv-miR-BHRF1-3	5.72903888769099
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL112	5.801235444728
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL148D	5.98910111178454
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL22A	5.86081796439856
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL22A*	5.72801064141325
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL36	6.25933364787307
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL70-3p	7.87243023695562
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-UL70-5p	5.74218424658272
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US25-1	5.91781002379363
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US25-2-3p	5.77124482306771
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US25-2-5p	5.92128616096353
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US33	6.25649078497636
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US4	6.62584154119639
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US5-1	5.8335444245217
TCGA-06-0675-11A-01T-0345-07	hcmv-miR-US5-2	5.73503854869638
TCGA-06-0675-11A-01T-0345-07	hsa-let-7a	13.9460803595619
TCGA-06-0675-11A-01T-0345-07	hsa-let-7b	13.5963252146504
TCGA-06-0675-11A-01T-0345-07	hsa-let-7c	12.6635356408479
TCGA-06-0675-11A-01T-0345-07	hsa-let-7d	11.8289007171589
TCGA-06-0675-11A-01T-0345-07	hsa-let-7e	12.0641056942140
TCGA-06-0675-11A-01T-0345-07	hsa-let-7f	12.0238328076676
TCGA-06-0675-11A-01T-0345-07	hsa-let-7g	11.3964095626638
TCGA-06-0675-11A-01T-0345-07	hsa-let-7i	9.6347999645457
TCGA-06-0675-11A-01T-0345-07	hsa-miR-1	6.17283670839762
TCGA-06-0675-11A-01T-0345-07	hsa-miR-100	9.7561473664662
TCGA-06-0675-11A-01T-0345-07	hsa-miR-101	10.8108385995335
TCGA-06-0675-11A-01T-0345-07	hsa-miR-103	11.5445281911863
TCGA-06-0675-11A-01T-0345-07	hsa-miR-105	5.81153889959759
TCGA-06-0675-11A-01T-0345-07	hsa-miR-106a	8.55910732251416
TCGA-06-0675-11A-01T-0345-07	hsa-miR-106b	8.92676816480238
TCGA-06-0675-11A-01T-0345-07	hsa-miR-107	12.1445316520880
TCGA-06-0675-11A-01T-0345-07	hsa-miR-10a	6.12330137889515
TCGA-06-0675-11A-01T-0345-07	hsa-miR-10b	6.6595096551856
TCGA-06-0675-11A-01T-0345-07	hsa-miR-122a	5.7845132115614
TCGA-06-0675-11A-01T-0345-07	hsa-miR-124a	15.6179702370800
TCGA-06-0675-11A-01T-0345-07	hsa-miR-125a	11.2076687278361
TCGA-06-0675-11A-01T-0345-07	hsa-miR-125b	13.2301624734199
TCGA-06-0675-11A-01T-0345-07	hsa-miR-126	11.4432397252328
